Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,58.0,1.0,58.0,58.0,0.0,19.117000010000044,19.117000010000044,0.0,0.0,,,,,,,,,,,,,,,,4.0298700378873935,5.428775908994788,18.90216971752005,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,183.0,2.0,125.0,183.0,0.0,58.620000010000005,58.620000010000005,0.0,8.840085983276367,,,,,,,,,,,,,,,,15.144491937977612,17.5030993229875,56.78372223999283,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,303.0,3.0,120.0,303.0,0.0,38.51700001000005,38.51700001000005,0.0,17.454460859298706,,,,,,,,,,,,,,,,8.359508268139674,10.098248071886657,37.551410428251494,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,418.0,4.0,115.0,418.0,0.0,62.52000000999999,62.52000000999999,0.0,25.608752965927124,,,,,,,,,,,,,,,,17.66527248193243,19.557360686690025,60.54904271729508,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,467.0,5.0,49.0,467.0,0.0,15.811000009999988,15.811000009999988,0.0,29.303264617919922,,,,,,,,,,,,,,,,3.426794232943252,4.434197351402683,15.658745838424204,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,528.0,6.0,61.0,528.0,0.0,23.71200001000004,23.71200001000004,0.0,33.8563334941864,,,,,,,,,,,,,,,,5.8715433144697755,6.923791064153644,23.377213080898244,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,596.0,7.0,68.0,596.0,0.0,26.51600001000005,26.51600001000005,0.0,38.84705376625061,,,,,,,,,,,,,,,,6.070427517906394,7.79016263201857,26.12934027906142,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,647.0,8.0,51.0,647.0,0.0,18.912000010000035,18.912000010000035,0.0,42.70479106903076,,,,,,,,,,,,,,,,4.4253340031360775,5.532743498290571,18.70501298882889,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,749.0,9.0,102.0,749.0,0.0,66.41300000999998,66.41300000999998,0.0,49.966699838638306,,,,,,,,,,,,,,,,22.04604986876433,21.15236519447852,64.22853145484086,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,835.0,10.0,86.0,835.0,0.0,27.63200001000007,27.63200001000007,0.0,56.159324407577515,,,,,,,,,,,,,,,,5.189133030142082,7.738213615542905,27.212947516924693,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,929.0,11.0,94.0,929.0,0.0,53.813000009999996,53.813000009999996,0.0,62.91294980049133,,,,,,,,,,,,,,,,16.251673255052044,16.89465646973119,52.33768040442954,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,1015.0,12.0,86.0,1015.0,0.0,46.914000009999995,46.914000009999995,0.0,69.16319584846497,,,,,,,,,,,,,,,,13.473393033499518,14.803883475268167,45.801089298417466,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,1154.0,13.0,139.0,1154.0,0.0,94.01200001,94.01200001,0.0,78.93434429168701,,,,,,,,,,,,,,,,34.29563721998095,27.731704057163906,89.33424067709979,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
